,bite_convert_date ,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,victim_zip
240,2010-03-20,DOG,,FEMALE,BLONDE,40206
241,2010-03-21,CAT,,UNKNOWN,WHITE-ORAN,40205
242,2010-03-21,DOG,,FEMALE,BLK-BRN,40118
243,2010-03-21,DOG,,UNKNOWN,BRN-WHT,42027
244,2010-03-22,DOG,,UNKNOWN,WHITE,40243
245,2010-03-22,CAT,,UNKNOWN,GRAY-TIGER,40258
246,2010-03-22,CAT,,UNKNOWN,,40299
247,2010-03-22,DOG,,MALE,CHOCOLATE,40205
248,2010-03-23,DOG,,MALE,BLK-BRN,40243
249,2010-03-23,DOG,,MALE,BLACK,40299
250,2010-03-23,CAT,,MALE,TABBY,40241
251,2010-03-23,DOG,,UNKNOWN,BLK,40229
252,2010-03-23,DOG,,UNKNOWN,TRI,40223
253,2010-03-24,DOG,,UNKNOWN,,40241
254,2010-03-25,DOG,,FEMALE,BROWNISHRE,40213
255,2010-03-25,RACCOON,,UNKNOWN,,40272
256,2010-03-26,DOG,,FEMALE,WHITE,40220
257,2010-03-26,DOG,,MALE,BLK,40243
258,2010-03-27,DOG,,MALE,BLK-BRN,40223
259,2010-03-27,DOG,,UNKNOWN,BROWN-BLK,40214
260,2010-03-28,DOG,,UNKNOWN,,40241
261,2010-03-28,DOG,,FEMALE,WHITE,40222
262,2010-03-29,DOG,,UNKNOWN,,40210
263,2010-03-30,DOG,,UNKNOWN,GOLDEN,40222
264,2010-03-30,DOG,,MALE,GOLDEN,40223
265,2010-03-31,DOG,,MALE,BROWN,40245
266,2010-03-31,DOG,,MALE,BLK-TAN,40203
267,2010-04-01,DOG,,UNKNOWN,BLK-WHT,40219
268,2010-04-01,DOG,,MALE,BROWN,40241
269,2010-04-01,DOG,,FEMALE,BLK,47106
270,2010-04-01,DOG,,MALE,TAN,40241
271,2010-04-01,DOG,,MALE,WHITE,40211
272,2010-04-01,CAT,,MALE,GREY-WHT,40223
273,2010-04-01,DOG,,FEMALE,BLK-WHT,40245
274,2010-04-01,CAT,,MALE,GRAY,40207
275,2010-04-01,CAT,,UNKNOWN,BROWN-WHT,40210
276,2010-04-01,DOG,,UNKNOWN,BLACK-BRN,40222
277,2010-04-01,DOG,,UNKNOWN,BROWN-BLK,40291
278,2010-04-01,DOG,,UNKNOWN,BLACK,40216
279,2010-04-02,RACCOON,,UNKNOWN,,40118
280,2010-04-02,DOG,,FEMALE,BROWN-WHT,40218
281,2010-04-02,DOG,,MALE,BLACK-WHT,40205
282,2010-04-02,CAT,,UNKNOWN,ORANGE-WHT,40291
283,2010-04-02,DOG,,MALE,TAN-BLK,40118
284,2010-04-02,DOG,,UNKNOWN,BLK-WHT,40212
285,2010-04-03,DOG,,UNKNOWN,BROWN0-WHT,40215
286,2010-04-03,DOG,,UNKNOWN,TAN-WHT,40215
287,2010-04-03,CAT,,FEMALE,TRI,40241
288,2010-04-03,DOG,,UNKNOWN,BROWN-WHT,40213
289,2010-04-04,DOG,,FEMALE,BLACK,40219
290,2010-04-04,CAT,,UNKNOWN,,40241
291,2010-04-04,DOG,,MALE,GRAY-TAN,40059
292,2010-04-04,DOG,,UNKNOWN,TAN,40204
293,2010-04-05,DOG,,UNKNOWN,BROWN-WHT,40217
294,2010-04-05,DOG,,UNKNOWN,BROWN,40216
295,2010-04-05,DOG,,MALE,BLACK-TAN,40218
296,2010-04-05,DOG,,MALE,,40223
297,2010-04-05,DOG,,UNKNOWN,BROWN-TAN,48162
298,2010-04-06,DOG,,UNKNOWN,BLACK-GRAY,40229
299,2010-04-06,DOG,,MALE,WHITE-BLK,40214
300,2010-04-06,DOG,,MALE,BLACK,47129
301,2010-04-06,DOG,,FEMALE,RED,40203
302,2010-04-06,DOG,,UNKNOWN,BLACK,40229
303,2010-04-06,DOG,,UNKNOWN,BLUE MERLE,40205
304,2010-04-07,DOG,,MALE,YELLOWISH,40223
305,2010-04-07,DOG,,UNKNOWN,BROWN,40272
306,2010-04-07,DOG,,MALE,BLK-WHT,40241
307,2010-04-09,DOG,,FEMALE,CHESTNUT,40299
308,2010-04-09,DOG,,FEMALE,BL-BRINDLE,40299
309,2010-04-09,DOG,,MALE,GRAY,40215
310,2010-04-09,DOG,,MALE,BLACK,40243
311,2010-04-09,DOG,,FEMALE,BLACK-WHT,40228
312,2010-04-09,DOG,,FEMALE,BLK-WHT,40229
313,2010-04-09,DOG,,MALE,BROWN-WHT,40165
314,2010-04-10,CAT,,UNKNOWN,GRAY,40299
315,2010-04-10,DOG,,FEMALE,BROWN-WHT,40218
316,2010-04-11,DOG,,UNKNOWN,RED,40217
317,2010-04-11,CAT,,UNKNOWN,,40214
318,2010-04-12,DOG,,FEMALE,WHT-BLK,40204
319,2010-04-14,DOG,,UNKNOWN,,40207
320,2010-04-14,DOG,,MALE,BROWN,40207
321,2010-04-14,DOG,,FEMALE,MULTI,40218
322,2010-04-15,DOG,,FEMALE,FAWN-WHT,40219
323,2010-04-16,DOG,,FEMALE,SABLE,40218
324,2010-04-17,DOG,,UNKNOWN,TAN,40210
325,2010-04-17,DOG,,MALE,RED-BRN-BK,40299
326,2010-04-17,CAT,,MALE,BLK-BRN,40222
327,2010-04-17,CAT,,FEMALE,GREY-WHT,40245
328,2010-04-18,DOG,,UNKNOWN,BROWN,40023
329,2010-04-18,DOG,,UNKNOWN,BRN-WHITE,40219
330,2010-04-18,DOG,,FEMALE,WHITE,40229
331,2010-04-18,DOG,,UNKNOWN,TAN-WHT,40219
332,2010-04-18,DOG,,UNKNOWN,,40299
333,2010-04-18,DOG,,MALE,BLUE-GRAY-,40245
334,2010-04-19,DOG,,UNKNOWN,,40220
335,2010-04-19,DOG,,UNKNOWN,,40205
336,2010-04-19,DOG,,UNKNOWN,,40229
337,2010-04-19,DOG,,UNKNOWN,BLACK-WHT,40229
338,2010-04-19,DOG,,MALE,BLK-WHT,40219
339,2010-04-20,DOG,,MALE,DARK BRN,40208
340,2010-04-20,CAT,,UNKNOWN,,40228
341,2010-04-20,DOG,,UNKNOWN,BLK-WHT,40216
342,2010-04-20,DOG,,UNKNOWN,TAN,40214
343,2010-04-20,DOG,,UNKNOWN,,40208
344,2010-04-20,DOG,,UNKNOWN,BRN-BRINDL,40216
345,2010-04-21,DOG,,UNKNOWN,,40214
346,2010-04-21,DOG,,FEMALE,TRI,40220
347,2010-04-21,DOG,,FEMALE,BROWN,40215
348,2010-04-21,DOG,,FEMALE,BROWN-WHT,40245
349,2010-04-21,DOG,,UNKNOWN,TRI,40203
350,2010-04-22,CAT,,MALE,GRAY-WHT,40213
351,2010-04-22,DOG,,FEMALE,WHITE,40220
352,2010-04-22,CAT,,MALE,GRAY,40023
353,2010-04-23,DOG,,MALE,BLK-WHT,40245
354,2010-04-23,DOG,,MALE,BROWN-BLK,40118
355,2010-04-23,DOG,,UNKNOWN,BLK-WHT,40211
356,2010-04-24,DOG,,FEMALE,BROWN,40218
357,2010-04-26,DOG,,UNKNOWN,BL-BRINDLE,40241
358,2010-04-26,DOG,,UNKNOWN,,40241
359,2010-04-26,DOG,,UNKNOWN,BROWN-RED,40272
360,2010-04-27,DOG,,MALE,BROWN,40208
361,2010-04-28,DOG,,FEMALE,TRI,40014
362,2010-04-28,CAT,,UNKNOWN,BLONDE,40291
363,2010-04-28,DOG,,UNKNOWN,,40216
364,2010-04-28,DOG,,MALE,BLACK-WHT,47119-9567
365,2010-04-28,DOG,,MALE,TAN-WHT,40214
366,2010-04-28,DOG,,UNKNOWN,RED-WHT,40228
367,2010-04-29,DOG,,FEMALE,YELLOW,47135
368,2010-04-29,DOG,,UNKNOWN,,40216
369,2010-04-30,DOG,,MALE,RED,40272
370,2010-04-30,DOG,,UNKNOWN,,40215
371,2010-05-01,DOG,,MALE,TAN,40059
372,2010-05-01,DOG,,MALE,WHT-BLK,40215
373,2010-05-01,DOG,,UNKNOWN,BLK,40212
374,2010-05-01,DOG,,MALE,BRN-WHT,40207
375,2010-05-01,DOG,,UNKNOWN,,40217
376,2010-05-01,DOG,,MALE,GOLDEN-BRN,40205
377,2010-05-02,DOG,,FEMALE,BLK,40210
378,2010-05-03,DOG,,UNKNOWN,,40219
379,2010-05-03,DOG,,UNKNOWN,TRI,40229
380,2010-05-03,DOG,,MALE,BLUE,40218
381,2010-05-03,DOG,,UNKNOWN,BLK,40219
382,2010-05-04,DOG,,MALE,BL BRINDLE,40212
383,2010-05-04,DOG,,FEMALE,BLACK-WHT,40219
384,2010-05-04,DOG,,MALE,WHT,40241
385,2010-05-04,DOG,,UNKNOWN,BRN,40206
386,2010-05-04,DOG,,MALE,BRN-BLK,40241
387,2010-05-05,DOG,,FEMALE,BLK-GRAY,40272
388,2010-05-05,DOG,,MALE,BLK-WHITE,40214
389,2010-05-06,DOG,,UNKNOWN,,40203
390,2010-05-06,DOG,,FEMALE,RED-BROWN,40241
391,2010-05-06,DOG,,UNKNOWN,,40272
392,2010-05-07,DOG,,MALE,BLK-TAN,40299
393,2010-05-07,DOG,,UNKNOWN,YELLOW,40272
394,2010-05-07,CAT,,UNKNOWN,TORTIE,40222
395,2010-05-07,DOG,,MALE,BLK-WHT,40204
396,2010-05-07,DOG,,UNKNOWN,,40223
397,2010-05-09,DOG,,UNKNOWN,BLUE-WHT,40211
398,2010-05-09,DOG,,UNKNOWN,,40203
399,2010-05-09,CAT,,MALE,BLK-WHT,40241
400,2010-05-09,DOG,,MALE,BRN-WHT,40219
401,2010-05-09,DOG,,UNKNOWN,,40208
402,2010-05-10,DOG,,MALE,CHO.WHT.,40291
403,2010-05-10,CAT,,UNKNOWN,,40214
404,2010-05-10,DOG,,MALE,FAWN-WHT,40216
405,2010-05-10,DOG,,UNKNOWN,,40258
406,2010-05-11,DOG,,UNKNOWN,,40208
407,2010-05-11,DOG,,UNKNOWN,,40222
408,2010-05-11,DOG,,MALE,BLK,47130
409,2010-05-11,DOG,,FEMALE,BLK,40214
410,2010-05-11,DOG,,MALE,BLK-WHT,40215
411,2010-05-11,DOG,,UNKNOWN,BLK-WHT,40202
412,2010-05-12,DOG,,MALE,BLACK,40299
413,2010-05-12,DOG,,MALE,WHITE,40222
414,2010-05-12,DOG,,UNKNOWN,BLK-BRN,40229
415,2010-05-12,CAT,,UNKNOWN,,40206
416,2010-05-13,DOG,,MALE,BRN-GRAY,40213
417,2010-05-13,CAT,,MALE,GRAY-WHT,40291
418,2010-05-13,CAT,,FEMALE,CALICO,40218
419,2010-05-14,DOG,,MALE,BRN-WHT,40211
420,2010-05-14,CAT,,UNKNOWN,BRN-WHT,40206
421,2010-05-15,DOG,,MALE,WHITE,40059
422,2010-05-15,DOG,,MALE,BRN-BLK,40218
423,2010-05-15,DOG,,MALE,YELLOW,40108
424,2010-05-15,CAT,,UNKNOWN,,40272
425,2010-05-15,DOG,,FEMALE,BLACK,40214
426,2010-05-16,DOG,,UNKNOWN,,40272
427,2010-05-16,DOG,,UNKNOWN,,40219
428,2010-05-16,DOG,,UNKNOWN,,40205
429,2010-05-16,CAT,,UNKNOWN,,40206
430,2010-05-17,DOG,,MALE,BLACK,40241
431,2010-05-17,DOG,,MALE,WHT-BLK,40118
432,2010-05-17,DOG,,MALE,BRN-BLK,40215
433,2010-05-18,DOG,,UNKNOWN,,40208
434,2010-05-18,DOG,,UNKNOWN,,40299
435,2010-05-18,CAT,,MALE,GRAY,40216
436,2010-05-19,DOG,,MALE,BRN-WHT,40291
437,2010-05-19,DOG,,UNKNOWN,,
438,2010-05-19,CAT,,MALE,GRAY-WHT,40223
439,2010-05-19,DOG,,MALE,BRINDLE,40243
440,2010-05-19,DOG,,MALE,RED-WHT,40208
441,2010-05-19,CAT,,MALE,GRAY,40299
442,2010-05-20,DOG,,FEMALE,BLK-BRN,40243
443,2010-05-20,CAT,,MALE,TRI,40059
444,2010-05-20,DOG,,MALE,BLK-WHT,40252-0551
445,2010-05-20,DOG,,MALE,BLK-WHT,40291
446,2010-05-20,DOG,,FEMALE,BLK,40204
447,2010-05-21,CAT,,UNKNOWN,BLACK,40207
448,2010-05-21,DOG,,MALE,BRN-WHT,40212
449,2010-05-21,DOG,,FEMALE,WHT-TAN,40242
450,2010-05-21,DOG,,FEMALE,BLK-WHT,40220
451,2010-05-22,DOG,,UNKNOWN,BR. BRINDL,40272
452,2010-05-22,DOG,,UNKNOWN,,40220
453,2010-05-22,DOG,,UNKNOWN,BRN-WHT,40215
454,2010-05-22,DOG,,MALE,BRN-SILVER,40213
455,2010-05-22,CAT,,MALE,BLACK,40272
456,2010-05-23,BAT,,UNKNOWN,,40203
457,2010-05-23,DOG,,MALE,TRI,40299
458,2010-05-23,CAT,,FEMALE,BRN,40215
459,2010-05-24,DOG,,UNKNOWN,,40299
460,2010-05-24,DOG,,UNKNOWN,,40207
461,2010-05-24,DOG,,FEMALE,BLK-TAN,40229
462,2010-05-24,DOG,,UNKNOWN,WHT-BRN-TN,40216
463,2010-05-24,DOG,,MALE,BRN-WHT,40214
464,2010-05-24,DOG,,FEMALE,YELLOW,40272
465,2010-05-25,DOG,,MALE,WHT-BLK,40258
466,2010-05-25,DOG,,UNKNOWN,TRI,40212
467,2010-05-25,CAT,,MALE,WHT-GRAY,40204
468,2010-05-25,DOG,,UNKNOWN,RED,40215
469,2010-05-26,DOG,,UNKNOWN,,40203
470,2010-05-26,DOG,,UNKNOWN,,40272
471,2010-05-26,DOG,,FEMALE,BLK-WHT,40214
472,2010-05-26,DOG,,MALE,BLK,40228
473,2010-05-26,DOG,,MALE,BLK-WHT,47130
474,2010-05-26,DOG,,UNKNOWN,BR.-BRINDL,40219
475,2010-05-26,DOG,,MALE,TAN-WHT,40215
476,2010-05-27,DOG,,FEMALE,BLK-WHT,40219
477,2010-05-27,DOG,,UNKNOWN,,40299
478,2010-05-27,DOG,,UNKNOWN,,40207
479,2010-05-27,DOG,,MALE,GRAY,40223
480,2010-05-28,DOG,,UNKNOWN,BROWN/WHIT,40212
481,2010-05-28,DOG,,FEMALE,BLACK,40217
482,2010-05-28,CAT,,UNKNOWN,BLACK/WHIT,40213
483,2010-05-29,DOG,,UNKNOWN,BLK-WHT,40229
484,2010-05-29,DOG,,UNKNOWN,,40206
485,2010-05-29,DOG,,MALE,FAWN,40229
486,2010-05-29,CAT,,MALE,BLK,40245
487,2010-05-29,BAT,,UNKNOWN,,40203
488,2010-05-30,DOG,,UNKNOWN,,40229
489,2010-05-30,DOG,,FEMALE,WHITE,40245
490,2010-05-30,CAT,,UNKNOWN,,40228
491,2010-05-31,DOG,,UNKNOWN,,40004
492,2010-05-31,DOG,,FEMALE,BRN-WHT,40220
493,2010-05-31,DOG,,FEMALE,SABLE-WHT,42441
494,2010-05-31,DOG,,UNKNOWN,,40208
495,2010-05-31,DOG,,MALE,BLACK/WHIT,40223
496,2010-06-01,CAT,,MALE,TABBY,40229
497,2010-06-01,DOG,,UNKNOWN,BLACK,40291
498,2010-06-01,DOG,,MALE,BRN-WHT,40272
499,2010-06-01,DOG,,MALE,WHITE,40211
500,2010-06-01,DOG,,MALE,BEIGE-BRIN,40258
501,2010-06-01,CAT,,UNKNOWN,TAN,40228
502,2010-06-02,DOG,,FEMALE,BLACK,40229
503,2010-06-02,DOG,,FEMALE,BRN-BLK,40228
504,2010-06-03,DOG,,UNKNOWN,,40272
505,2010-06-03,CAT,,UNKNOWN,,40214
506,2010-06-03,DOG,,FEMALE,BRN,40205
507,2010-06-03,DOG,,UNKNOWN,,40216
508,2010-06-03,DOG,,MALE,BLACK/TAN,40216
509,2010-06-04,DOG,,MALE,WHT-YELLOW,40211
510,2010-06-04,DOG,,MALE,TAN/WHITE,40212
511,2010-06-04,DOG,,UNKNOWN,TAN-BLK,40229
512,2010-06-05,DOG,,UNKNOWN,,40216
513,2010-06-05,CAT,,FEMALE,GRAY/WHITE,40272
514,2010-06-05,DOG,,UNKNOWN,,40242
515,2010-06-05,DOG,,UNKNOWN,,40229
516,2010-06-06,DOG,,MALE,TAN-WHT,40242
517,2010-06-06,CAT,,MALE,BLK-WHITE,40207
518,2010-06-06,CAT,,FEMALE,TAN/GRAY,40207
519,2010-06-07,CAT,,FEMALE,CALICO,40156
520,2010-06-07,DOG,,UNKNOWN,,40211
521,2010-06-07,DOG,,FEMALE,BLACK-WHT,40272
522,2010-06-07,CAT,,UNKNOWN,,40220
523,2010-06-07,CAT,,MALE,GRAY/WHITE,40208
524,2010-06-07,CAT,,FEMALE,CALICO,40118
